VAR_001,VAR_003,VAR_004,VAR_005,VAR_006,VAR_007,VAR_008,VAR_009,VAR_010,VAR_011,VAR_012,VAR_017,VAR_018,VAR_019,VAR_020,VAR_021,VAR_022,VAR_023,VAR_031,VAR_055
4207809,10195,0.56,68.41,95.05,76.41,8.87,99.51,93.43,745.41,10.27,5.71,39.04,7.36,5520,14.55,0.42,84.65,26727.48,31.29
4207858,2069,-0.11,21.42,99.36,80.56,1.02,100,94.79,516.08,11.07,11.05,31.7,6.79,1062,15.65,0.45,83.66,30001.45,26.56
4207908,10285,-0.12,33.68,98.28,42.8,17.82,98.17,80.6,394.99,10.23,10.69,26.45,7.38,5734,15.61,0.54,83.69,40421.58,17.44
4208005,7067,0.8,63.13,92.54,75.64,52.02,99.93,93.54,1320,11.12,3.39,42.82,9.52,3924,11.78,0.45,87.22,66440.04,42.5
4208104,22051,0.69,52.89,96.9,56.64,11.39,98.91,81.7,636.73,9.38,11.82,30.46,8.18,11270,15.61,0.49,83.69,47859.71,16.99
4208203,264054,3.09,94.59,68.02,96.08,80.51,99.87,99.9,1866.97,10.3,2.31,50.03,15.03,104013,11.45,0.45,87.89,210729.12,913
4208302,75940,4.3,97.52,55.58,91.52,65.99,99.93,99.91,2064.38,9.73,2.7,46.9,14.45,24712,11.59,0.49,87.41,41670.53,1304.59
4208401,16638,0.66,49.43,91.81,86.59,48.63,99.8,86.44,1133.44,11.59,3.06,43.9,11.22,9424,15.09,0.45,84.16,62122.97,59.05
4208450,30750,6.31,96,90.66,93.75,1.89,99.71,99.53,1110.85,10.17,5.51,42.46,11.48,7555,12.22,0.47,86.81,77581.19,125.31
4208500,26525,1.48,66.66,87.13,65.01,48.3,99.92,97.54,1287.54,9.05,3.94,30.97,10.52,13902,11.98,0.43,87.03,54630.43,78.81
4208609,4310,0.54,39.72,97.47,53.92,1.69,99.87,88.46,727.37,11.61,5.61,30.53,8.14,2502,19.27,0.45,80.55,46508.96,23.62
4208708,10624,0.01,48.38,94.63,62.39,11.92,99.77,86.36,835.68,10.07,7.03,34.32,8.66,6146,17.48,0.43,82.06,51246.68,24.67
4208807,20375,1.38,76.33,96.72,69.74,7.49,99.96,99.38,719.09,9.71,3.32,32.17,7.61,9264,16.22,0.39,83.15,41458.46,62.43
4208906,182660,2.05,92.79,66.88,89.37,86.37,99.95,99.65,2392.79,10.5,0.71,53.96,15.86,88485,12.03,0.42,85.68,65295.54,344.06
4208955,1776,0.03,45.24,99.11,69.82,0.59,99.7,79.44,789.22,12.7,6.18,31.57,7.81,1112,16.96,0.4,82.51,44286.54,25.93
4209003,30146,0.92,92.24,73.69,92.41,60.17,99.86,96.69,3034.01,10.85,2.61,58.43,22.37,16643,10.82,0.54,88.16,77597.18,124.76
4209102,616317,1.5,96.62,72.55,96.38,78.02,99.95,99.93,1990.8,10.02,1.67,59.39,17.88,292112,10.97,0.49,88.01,74531.62,546.41
4209151,5985,1.83,34.12,98.14,62.94,9.74,98.88,83.23,409.61,10.88,13.78,24.78,6.08,2569,15.18,0.44,84.08,25993.68,14.76
4209177,2555,1.46,48.6,98.42,58.5,0.53,99.68,77.4,610.67,10.6,14.26,28.71,4.73,1124,13.23,0.55,85.86,42358.08,27.94
