id_municipio,pib,impostos_liquidos,va_agropecuaria,va_industria,va_servicos,va_adespss
3122207,82295,3493,12791,1710,26580,37721
3125606,75707,2453,9273,1365,23274,39341
3132206,402464,46639,31078,87719,167060,69969
3132602,67336,3014,16731,3339,18324,25928
3136108,110227,1847,6736,57649,16913,27082
3137536,292506,24266,121019,13841,83830,49550
3138609,339660,28046,54052,33702,142997,80863
3139607,476940,35640,38392,25400,237155,140353
3147501,23595,868,3014,825,6259,12629
3158706,39157,1431,9192,753,10127,17655
3160207,44707,1312,7811,1176,11324,23084
3162252,60418,2786,14162,1302,13713,28455
3163300,53046,1520,11332,1214,15467,23512
3170750,316199,9806,180398,24954,61026,40015
3171071,133052,3673,55822,20820,21480,31257
3100500,165824,2957,21965,75038,24519,41345
3102803,291937,22308,78768,16611,112517,61733
3105004,201277,6577,24133,92324,39328,38915
3105905,608921,83844,5469,239941,178830,100836
3106200,105829675,13745342,4388,16150132,63186009,12743805
3109105,240738,25947,50018,8827,104587,51360
3112059,56761,1871,10128,5995,13397,25370
3116704,139845,12300,30316,9826,51600,35803
3143203,483352,32938,115704,33158,193264,108288
3148608,270148,12365,81989,6138,83289,86366
3149309,1939056,239375,12335,681403,684887,321056
3158805,105993,8978,10902,24267,35827,26019
3169604,946559,80267,281661,114879,319118,150633
3102050,97111,5582,19090,3300,36227,32912
3103108,28571,797,4350,922,7520,14981
3104205,2346520,321558,112415,1000671,712173,199704
3108602,377425,22856,18527,24311,151033,160698
3124500,601894,71585,78907,199733,196841,54829
3129004,114431,8168,23317,8577,35577,38793
3144359,90048,5845,4458,4223,38387,37136
3152204,526939,34242,94114,34202,190425,173956
3165404,110272,7377,14692,15449,38358,34396
3166204,115769,4141,21098,9998,32404,48128
3168200,56041,1081,31754,1587,8729,12891
3170008,117219,4200,14434,4898,33271,60417
3170404,4319563,382411,1610992,323552,1534271,468336
3170529,193242,8736,51770,6262,42568,83906
3170701,8093810,1842340,88572,1549576,3920910,692411
3102852,144541,6836,49167,11784,34996,41758
3105301,86583,6357,7068,7854,34847,30457
3124302,363982,26923,18566,31372,139797,147324
3126109,2214110,218282,258240,353105,1056826,327657
3131802,136423,7196,11006,11798,54018,52405
3133501,629195,59606,90091,168770,209772,100955
3135803,274832,14229,26488,12013,105190,116913
3138682,65474,2704,6593,1824,19445,34907
3145372,70417,7740,2932,11903,17523,30318
3145901,8842769,1524586,9792,5664004,1416959,227428
3147709,480322,56868,28793,249635,102765,42260
3147956,55018,1572,5499,1555,13458,32934
3148202,116065,12148,6522,20887,44439,32070
3148509,93078,3626,18872,2881,26851,40848
3152600,277468,31355,91199,42047,78823,34044
3154002,423415,26361,93729,26853,161763,114708
3162005,987545,120257,157543,203916,381139,124690
3165305,206110,19619,55556,26963,65977,37995
3101631,150663,11678,43651,15342,44700,35292
3105202,59116,1571,12901,2672,14235,27737
3106903,277609,23634,7276,28957,149150,68593
3115458,83289,6278,5941,1975,32979,36116
3121803,90883,2974,18142,4825,27566,37375
3122454,93202,2586,11999,3364,23715,51538
3123528,122893,6440,40050,4399,35679,36326
3124906,221830,14644,48702,32100,72611,53774
3127339,57339,2421,8595,1189,14400,30734
3130705,875663,60805,255034,411512,99234,49078
3136405,72335,5160,14783,5295,17586,29511
3141801,350142,12042,88147,14187,98230,137535
3145877,122059,6999,34136,4567,33592,42766
3150208,62735,3368,11912,2141,19942,25373
3150539,52720,1958,2499,2811,17364,28087
3155009,51873,5315,4417,7241,12942,21958
3159100,49866,1801,7191,2226,14807,23840
3161403,72567,4863,14935,3890,22840,26039
3162922,1083354,139775,46947,432950,295956,167725
3163706,1177922,112998,2664,108697,701428,252136
3164209,243121,9241,121813,10211,44436,57420
3165537,2190992,208578,2994,1256000,538371,185049
3171402,53459,1606,15002,1945,12083,22823
3100203,541239,44182,127034,40613,220439,108972
3102001,296525,15727,90182,15315,104321,70979
3104452,67084,1605,22170,1201,13599,28508
3108404,325926,28365,90172,21041,116038,70309
3112000,371149,25393,111262,38962,123566,71966
3115359,5032358,39337,7502,4069100,874614,41804
3115607,22406,661,4871,770,5416,10688
3115706,87071,5862,7155,3506,36084,34464
3117108,274177,16446,106235,11051,88936,51509
3119500,119865,4007,8370,21638,31894,53957
3119609,60102,3659,13598,2488,20526,19831
3121407,261204,15744,31097,108468,67999,37897
3128808,123659,8792,14082,24623,39263,36899
3134202,3797932,481013,400382,762873,1645158,508506
3135001,109845,13188,2990,33394,39748,20525
3137403,345418,20287,137383,12023,106496,69229
3140555,91577,2954,8019,11732,25876,42995
3150505,281722,33271,86455,6788,109154,46054
3151008,136079,10129,13968,15507,55818,40657
3152402,168795,8539,18692,13367,55514,72683
3152709,229201,16985,44643,61201,64531,41842
3154457,157263,5499,66589,4474,40163,40537
3155603,345467,14143,84507,10202,90704,145911
3155900,69182,3275,6727,3620,27220,28340
3162450,92400,2846,6704,2196,20439,60216
3162807,253108,19285,31799,13146,113095,75783
3109808,269619,34088,67604,7599,129550,30778
3110905,439877,41779,89040,41531,187095,80432
3120102,63270,5114,7369,1955,23602,25231
3120201,295530,16801,105734,14690,90656,67649
3120607,83098,4612,14633,8539,26461,28853
3122603,67823,2997,8538,9527,21272,25488
3130200,578190,90217,49857,206597,176469,55050
3131604,301551,29379,93424,49363,92375,37010
